seed,Area_mm2,Length_mm,Width_mm,Circularity,FeretDistance,species
76,13.879,6.153,2.872,0.736,6.184,wheat_red
77,18.05,7.136,3.221,0.71,7.105,wheat_red
78,19.149,7.046,3.46,0.747,7.046,wheat_red
79,15.043,6.865,2.79,0.666,7.057,wheat_red
80,19.597,7.406,3.369,0.693,7.555,wheat_red
81,16.655,6.177,3.433,0.807,6.109,wheat_red
82,15.816,6.026,3.342,0.749,6.331,wheat_red
83,13.229,5.562,3.028,0.755,5.857,wheat_red
84,16.091,6.972,2.939,0.666,7.108,wheat_red
85,15.563,6.604,3.001,0.734,6.632,wheat_red
86,12.036,5.963,2.57,0.676,6.243,wheat_red
87,18.043,6.603,3.479,0.784,6.786,wheat_red
88,16.033,5.962,3.424,0.801,6.039,wheat_red
89,20.349,6.915,3.747,0.764,7.143,wheat_red
90,17.305,6.264,3.518,0.737,6.661,wheat_red
91,12.722,6.223,2.603,0.689,6.188,wheat_red
92,13.706,6.069,2.875,0.725,6.249,wheat_red
93,15.628,6.528,3.048,0.745,6.445,wheat_red
94,15.686,6.342,3.149,0.736,6.534,wheat_red
95,17.052,6.616,3.282,0.755,6.738,wheat_red
96,9.072,4.695,2.46,0.768,4.869,wheat_red
97,20.71,6.441,4.094,0.815,6.586,wheat_red
98,18.578,6.076,3.893,0.818,6.207,wheat_red
99,12.195,5.884,2.639,0.709,5.939,wheat_red
100,18.809,6.617,3.619,0.774,6.81,wheat_red
1,17.961,6.708,3.409,0.745,6.97,wheat_white
2,15.999,6.21,3.28,0.732,6.327,wheat_white
3,19.258,7.087,3.46,0.73,7.242,wheat_white
4,18.606,6.884,3.441,0.726,7.002,wheat_white
5,19.626,6.744,3.706,0.774,6.905,wheat_white
6,17.763,6.334,3.571,0.773,6.508,wheat_white
7,17.65,6.893,3.26,0.742,7.073,wheat_white
8,21.901,7.288,3.826,0.759,7.507,wheat_white
9,16.615,6.352,3.33,0.758,6.516,wheat_white
10,16.537,6.523,3.228,0.734,6.745,wheat_white
11,16.126,6.25,3.285,0.761,6.438,wheat_white
12,19.428,6.845,3.614,0.761,7.084,wheat_white
13,13.994,5.8,3.072,0.752,5.917,wheat_white
14,18.755,6.296,3.793,0.801,6.393,wheat_white
15,18.231,6.335,3.664,0.788,6.6,wheat_white
16,17.338,6.186,3.569,0.802,6.358,wheat_white
17,17.657,6.688,3.361,0.702,6.905,wheat_white
18,18.337,6.798,3.434,0.746,6.987,wheat_white
19,19.18,6.985,3.496,0.755,7.059,wheat_white
20,21.206,7.11,3.797,0.779,7.288,wheat_white
21,19.492,6.646,3.734,0.744,6.891,wheat_white
22,18.358,6.366,3.671,0.774,6.557,wheat_white
23,16.466,5.919,3.542,0.831,6.024,wheat_white
24,16.268,6.713,3.086,0.715,6.799,wheat_white
25,13.894,5.175,3.419,0.838,5.217,wheat_white
26,19.024,6.842,3.54,0.766,6.966,wheat_white
27,21.107,7.219,3.723,0.757,7.358,wheat_white
28,21.15,7.239,3.72,0.751,7.416,wheat_white
29,17.416,6.399,3.465,0.789,6.598,wheat_white
30,16.849,6.306,3.402,0.786,6.521,wheat_white
31,19.031,6.677,3.629,0.798,6.876,wheat_white
32,18.209,6.602,3.512,0.745,6.876,wheat_white
33,15.311,6.332,3.079,0.715,6.54,wheat_white
34,19.867,7.112,3.557,0.764,7.206,wheat_white
35,19.173,7.103,3.437,0.712,7.228,wheat_white
36,18.698,6.536,3.642,0.807,6.592,wheat_white
37,21.469,7.192,3.8,0.772,7.396,wheat_white
38,19.556,6.758,3.684,0.745,6.974,wheat_white
39,20.576,6.552,3.999,0.82,6.663,wheat_white
40,19.598,6.499,3.84,0.799,6.728,wheat_white
41,19.563,6.989,3.564,0.747,7.088,wheat_white
42,16.311,6.578,3.157,0.714,6.721,wheat_white
43,19.414,6.453,3.831,0.802,6.592,wheat_white
44,12.803,6.283,2.594,0.665,6.442,wheat_white
45,22.014,7.255,3.863,0.778,7.331,wheat_white
46,16.622,5.832,3.629,0.788,6.002,wheat_white
47,15.17,6.057,3.189,0.772,6.108,wheat_white
48,18.776,6.714,3.561,0.724,6.995,wheat_white
49,16.998,5.835,3.709,0.836,5.931,wheat_white
50,16.778,6.521,3.276,0.739,6.789,wheat_white
51,17.409,6.462,3.43,0.769,6.603,wheat_white
52,18.358,7,3.339,0.738,7.055,wheat_white
53,20.64,7.012,3.748,0.712,7.136,wheat_white
54,21.348,7.267,3.74,0.711,7.452,wheat_white
55,15.857,6.473,3.119,0.717,6.704,wheat_white
56,14.568,5.982,3.101,0.764,6.257,wheat_white
57,19.01,6.045,4.004,0.84,6.195,wheat_white
58,21.051,7.055,3.799,0.777,7.187,wheat_white
59,18.783,6.625,3.61,0.799,6.728,wheat_white
60,15.623,6.259,3.178,0.755,6.371,wheat_white
61,21.32,6.78,4.004,0.803,6.866,wheat_white
62,17.097,6.431,3.385,0.769,6.54,wheat_white
63,21.334,7.067,3.844,0.778,7.155,wheat_white
64,21.745,7.121,3.888,0.778,7.263,wheat_white
65,19.563,6.561,3.796,0.805,6.671,wheat_white
66,15.184,5.33,3.627,0.822,5.576,wheat_white
67,18.252,6.771,3.432,0.758,6.852,wheat_white
68,16.877,6.638,3.237,0.751,6.77,wheat_white
69,16.027,6.285,3.247,0.749,6.505,wheat_white
70,18.195,6.57,3.526,0.774,6.776,wheat_white
71,18.011,6.676,3.435,0.758,6.86,wheat_white
72,16.325,6.346,3.275,0.685,6.574,wheat_white
73,19.733,6.22,4.039,0.763,6.438,wheat_white
74,18.521,6.452,3.655,0.803,6.538,wheat_white
75,19.336,6.299,3.909,0.808,6.297,wheat_white
76,20.016,7.03,3.625,0.734,7.257,wheat_white
77,20.165,7.363,3.487,0.723,7.394,wheat_white
78,18.103,6.416,3.593,0.763,6.538,wheat_white
79,20.427,6.485,4.01,0.806,6.656,wheat_white
81,16.077,6.339,3.229,0.731,6.514,wheat_white
82,16.778,6.352,3.363,0.762,6.574,wheat_white
83,17.579,7.01,3.193,0.68,7.072,wheat_white
84,19.116,6.393,3.807,0.798,6.615,wheat_white
85,19.86,6.549,3.861,0.819,6.671,wheat_white
86,16.332,6.364,3.268,0.769,6.574,wheat_white
87,19.386,7,3.526,0.762,7.105,wheat_white
88,16.743,5.875,3.629,0.818,5.911,wheat_white
89,18.259,6.743,3.448,0.752,6.82,wheat_white
90,17.607,6.691,3.35,0.747,7.003,wheat_white
91,16.424,6.234,3.355,0.751,6.568,wheat_white
92,20.796,7.028,3.768,0.777,7.161,wheat_white
93,16.424,6.257,3.342,0.754,6.444,wheat_white
94,19.428,6.822,3.626,0.767,7.019,wheat_white
95,18.925,6.795,3.546,0.768,6.86,wheat_white
96,14.766,6.167,3.048,0.729,6.365,wheat_white
97,21.929,6.986,3.997,0.773,7.132,wheat_white
98,19.648,6.954,3.597,0.737,7.186,wheat_white
99,17.77,6.15,3.679,0.805,6.297,wheat_white
