Experiment,Start_Date,Treatment,Perc,Time_Min,dilution,TSA_CFU_plate,MEA_CFU_plate,Germ_Total,Germ_Seeds,Germ_Perc,CFU_200seeds_bact,CFU_200seeds_fungi
3,9/7/22,Sonic,0,5,6,494,0,200,176,88,494000000,0
3,9/7/22,Sonic,0,5,6,215,0,200,186,93,215000000,0
3,9/7/22,Sonic,0,5,6,72,2,200,182,91,72000000,200
3,9/7/22,55 C,0,5,6,29,0,200,177,88.5,29000000,0
3,9/7/22,55 C,0,5,6,60,0,200,186,93,60000000,0
3,9/7/22,55 C,0,5,6,131,0,200,188,94,131000000,0
3,9/7/22,55 C,0,5,6,45,0,200,179,89.5,45000000,0
3,9/7/22,55 C,0,5,6,11,0,200,187,93.5,11000000,0
3,9/7/22,Bleach,10,5,4,104,0,200,183,91.5,1040000,0
3,9/7/22,Bleach,10,5,2,4,0,200,187,93.5,400,0
3,9/7/22,Bleach,10,5,6,370,0,200,189,94.5,370000000,0
3,9/7/22,Bleach,10,5,2,10,0,200,197,98.5,1000,0
3,9/7/22,Bleach,10,5,6,18,0,200,184,92,18000000,0
3,9/7/22,HCA,100,5,4,125,0,200,194,97,1250000,0
3,9/7/22,HCA,100,5,4,238,0,200,186,93,2380000,0
3,9/7/22,HCA,100,5,2,2,0,200,194,97,200,0
3,9/7/22,HCA,100,5,2,247,0,200,196,98,24700,0
3,9/7/22,HCA,100,5,2,59,0,200,183,91.5,5900,0
3,9/7/22,Vinegar,3,5,4,15,0,200,194,97,150000,0
3,9/7/22,Vinegar,3,5,6,6,0,200,184,92,6000000,0
3,9/7/22,Vinegar,3,5,6,49,0,200,180,90,49000000,0
3,9/7/22,Vinegar,3,5,6,25,0,200,187,93.5,25000000,0
3,9/7/22,Vinegar,3,5,6,61,0,200,195,97.5,61000000,0
3,9/7/22,H2O2,3,5,6,20,2,200,194,97,20000000,200
3,9/7/22,H2O2,3,5,6,19,6,200,192,96,19000000,600
3,9/7/22,H2O2,3,5,6,19,3,200,195,97.5,19000000,300
3,9/7/22,H2O2,3,5,6,18,3,200,190,95,18000000,300
3,9/7/22,H2O2,3,5,6,129,0,200,196,98,129000000,0
4,9/8/22,Control,0,15,6,176,2,200,195,97.5,176000000,200
4,9/8/22,Control,0,15,6,772,1,200,188,94,772000000,100
4,9/8/22,Control,0,15,6,216,3,200,197,98.5,216000000,300
4,9/8/22,Control,0,15,6,289,6,200,196,98,289000000,600
4,9/8/22,Control,0,15,6,59,5,200,200,100,59000000,500
4,9/8/22,Sonic,0,15,6,83,1,200,194,97,83000000,100
4,9/8/22,Sonic,0,15,6,16,0,200,186,93,16000000,0
4,9/8/22,Sonic,0,15,6,36,1,200,191,95.5,36000000,100
4,9/8/22,Sonic,0,15,6,35,1,200,198,99,35000000,100
4,9/8/22,Sonic,0,15,6,9,0,200,198,99,9000000,0
4,9/8/22,55 C,0,15,6,104,0,200,180,90,104000000,0
4,9/8/22,55 C,0,15,6,24,0,200,172,86,24000000,0
4,9/8/22,55 C,0,15,6,20,0,200,184,92,20000000,0
4,9/8/22,55 C,0,15,6,32,0,200,179,89.5,32000000,0
4,9/8/22,55 C,0,15,6,69,0,200,192,96,69000000,0
4,9/8/22,Bleach,10,15,6,25,0,200,195,97.5,25000000,0
4,9/8/22,Bleach,10,15,2,0,0,200,198,99,0,0
4,9/8/22,Bleach,10,15,2,0,0,200,194,97,0,0
4,9/8/22,Bleach,10,15,4,38,0,200,195,97.5,380000,0
4,9/8/22,Bleach,10,15,2,414,0,200,198,99,41400,0
4,9/8/22,HCA,100,15,2,0,0,200,197,98.5,0,0
4,9/8/22,HCA,100,15,2,0,0,200,190,95,0,0
4,9/8/22,HCA,100,15,2,0,0,200,192,96,0,0
4,9/8/22,HCA,100,15,4,10,0,200,195,97.5,100000,0
4,9/8/22,HCA,100,15,2,0,0,200,196,98,0,0
4,9/8/22,Vinegar,3,15,4,39,0,200,191,95.5,390000,0
4,9/8/22,Vinegar,3,15,4,44,0,200,182,91,440000,0
4,9/8/22,Vinegar,3,15,4,54,0,200,192,96,540000,0
4,9/8/22,Vinegar,3,15,2,297,0,200,175,87.5,29700,0
4,9/8/22,Vinegar,3,15,4,58,0,200,181,90.5,580000,0
4,9/8/22,H2O2,3,15,4,758,1,200,193,96.5,7580000,100
4,9/8/22,H2O2,3,15,4,19,1,200,196,98,190000,100
4,9/8/22,H2O2,3,15,4,127,2,200,196,98,1270000,200
4,9/8/22,H2O2,3,15,6,20,2,200,196,98,20000000,200
4,9/8/22,H2O2,3,15,4,296,2,200,193,96.5,2960000,200
